id,title,price_rub,category,rating,reviews_count,market_url,cover_photo
11226109,Кардиган из мохера Птичка,8300.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/kardigan-iz-mokhera-ptichka-211626529-11226109,https://sun9-70.vkuserphoto.ru/s/v1/ig2/dN_AaL_HI-KuT7XCISjFmFyQm17rTtTcLL9AmSd20YWBoX4O6lKC4dNabLVSGec4vZjGwNh_jBYB24ujbkZ3exr_.jpg?background=ffffff&crop=0%2C181%2C1829%2C2196&quality=90&size=533x640
11241248,Пуловер из мохера Эльза,7900.0,"Джемперы, свитеры и кардиганы",5.0,2,https://vk.ru/market/product/pulover-iz-mokhera-elza-211626529-11241248,https://sun9-58.vkuserphoto.ru/s/v1/ig2/5LQehJmzZXGswFVkeVY0AXUWhWhto7nZndpmKeu4vOuW092Pp3uNG60Ocq_o8OrVscAemc28-8-PgrcaqXKd3jy2.jpg?background=ffffff&crop=129%2C0%2C1282%2C1540&quality=90&size=533x640
11362831,Свитер из мохера Норвегия,4100.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/sviter-iz-mokhera-norvegia-211626529-11362831,https://sun9-30.vkuserphoto.ru/s/v1/ig2/S2M5H2jWebS0bT5207b_yxfN2LzkHjLEgfcIbqe3soaOs8Mp54wXIpXQlOg9nAVgq-IVef_aSMOBCi-tSCAyS-st.jpg?background=ffffff&crop=137%2C0%2C1366%2C1640&quality=90&size=533x640
11489578,Мастер класс Венеция,600.0,Наборы для вязания,0.0,0,https://vk.ru/market/product/master-klass-venetsia-211626529-11489578,https://sun9-29.vkuserphoto.ru/s/v1/ig2/R59OFfQWxuIgVwpD8lOGpDNhkdZqRsTTKDW3Ee-kyvR5PYlyuAAFQ3p5YLK1TNjngAyIyyjw-NLZwI9Rz-6onfsy.jpg?background=ffffff&crop=0%2C0%2C1440%2C1728&quality=90&size=533x640
11516532,МК кейп Монблан,600.0,Рукоделие и творчество,0.0,0,https://vk.ru/market/product/mk-keyp-monblan-211626529-11516532,https://sun9-83.vkuserphoto.ru/s/v1/ig2/Qhvm4maBTW5QXmb-a51PeAtVmznpNYYpX1_9LAJTQ2eiUhYzyw0ZyMp5GkJTxz5VSl6LtBcdqykuxeUO70MWJmL-.jpg?background=ffffff&crop=147%2C0%2C1462%2C1756&quality=90&size=533x640
11535484,Кардиган Африка из кидмохера и фактурной пряжи.,12150.0,"Джемперы, свитеры и кардиганы",5.0,1,https://vk.ru/market/product/kardigan-afrika-iz-kidmokhera-i-fakturnoy-pryazhi-211626529-11535484,https://sun9-25.vkuserphoto.ru/s/v1/ig2/inigHKGukbXSq1yP-VultG5l1SxzfYs-Hi29Z2yFLAH3JOFoOlheBfkpX35KoPghg7jFemEiSU6mhBvCnCfDVtWh.jpg?background=ffffff&crop=143%2C0%2C1423%2C1709&quality=90&size=533x640
11686084,МК пуловер Дива,1000.0,Пряжа,0.0,0,https://vk.ru/market/product/mk-pulover-diva-211626529-11686084,https://sun9-53.vkuserphoto.ru/s/v1/ig2/kFmwTzGcWfuup8flQU0X3VZ3JVXnDjyK9Vh2_NN29Lh0yOmAA4jiXJ8oXLwuJFq0b8_mysxiVfSAqM-p2v-iGUCB.jpg?background=ffffff&crop=256%2C0%2C1753%2C2106&quality=90&size=533x640
11712551,МК топ Тиффани,600.0,Пряжа,0.0,0,https://vk.ru/market/product/mk-top-tiffani-211626529-11712551,https://sun9-41.vkuserphoto.ru/s/v1/ig2/ENgz1GNqqjYG61rgqgcqRSj0e5VGWkXh95TK3V_jJPjYsDNrl-Dh966xKmh_HddJsoTBqKaKRKjK8J1c1W95ap91.jpg?background=ffffff&crop=0%2C128%2C1919%2C2304&quality=90&size=533x640
11713522,МК Шарф,300.0,Пряжа,0.0,0,https://vk.ru/market/product/mk-sharf-211626529-11713522,https://sun9-2.vkuserphoto.ru/s/v1/ig2/tSAfWRFMBwVTeLdeCl-L9mXUAF7SSc1b6-Xd46CxP73zO9RgUTdWT5kMWpzGd7TKz0amugC_JbBdMNngNJHGL3LJ.jpg?background=ffffff&crop=0%2C128%2C1920%2C2306&quality=90&size=533x640
11937381,МК пуловер Сен-Тропе,1200.0,Пряжа,5.0,1,https://vk.ru/market/product/mk-pulover-sen-trope-211626529-11937381,https://sun9-62.vkuserphoto.ru/s/v1/ig2/YDy6-DxUEnGBsC8f71nfZYVIds7v3lwcL-DvmX6joGChfZzZrxiBGxBxd-Qg0r_itWr8d6o57ImmGhCGK5RBi7sI.jpg?background=ffffff&crop=0%2C204%2C1793%2C2152&quality=90&size=533x640
12341491,МК паутинка Перо,800.0,Пряжа,0.0,0,https://vk.ru/market/product/mk-pautinka-pero-211626529-12341491,https://sun9-60.vkuserphoto.ru/s/v1/ig2/HHM56l9b5klMw3faTvNoilrCYD4OgJ2Nxe097b7pnN7z4MI1mTvNIS96bVe3gY4Mj2EEOpQV7LftRYUxMzyil7Bv.jpg?background=ffffff&crop=0%2C289%2C1652%2C1984&quality=90&size=533x640
12382713,МК кардиган Ингрид,1200.0,Наборы для вязания,0.0,0,https://vk.ru/market/product/mk-kardigan-ingrid-211626529-12382713,https://sun9-30.vkuserphoto.ru/s/v1/ig2/woV818WYCVKKSJLCoVmCFjxzcSH7qKsThwfpOIMkejmgLMEF6E07pm7NHLtuEPSl62y_V2FUM1tz0Xe-SiH3JLhS.jpg?background=ffffff&crop=0%2C46%2C719%2C863&quality=90&size=533x640
12567740,МК кейп/кардиган Фортуна,1500.0,Рукоделие и творчество,0.0,0,https://vk.ru/market/product/mk-keypkardigan-fortuna-211626529-12567740,https://sun9-12.vkuserphoto.ru/s/v1/ig2/CRr2FCrbTR-Esh0fwbFVKLm3jz4P4EC09RTL2mxxA1W16xuwlSqvcKb4Yh0uSpIw84ZUhGgq5TcyyKpgfeXz30B-.jpg?background=ffffff&crop=215%2C0%2C2132%2C2560&quality=90&size=533x640
12670937,МК паутинка Перо,800.0,Рукоделие и творчество,0.0,0,https://vk.ru/market/product/mk-pautinka-pero-211626529-12670937,https://sun9-44.vkuserphoto.ru/s/v1/ig2/jUSSLd0hGF9tqgxL58Ccj9KGMUVANoZVVoGmgLO-pWknBo2qqU6yM41APSKTap4ZKSsHumeRKUFf4dI1erA7lQs8.jpg?background=ffffff&crop=184%2C0%2C1825%2C2192&quality=90&size=533x640
